Sex/Life,2019,5.3,16568,Comedy; Drama; Romance,,,,,,,,,
Buffy the Vampire Slayer,2019,8.2,137622,Action; Drama; Fantasy,,,,,,,,,
Beetle Juice,1988,7.5,277189,Comedy; Fantasy,,,,,,,,,
Magnum P.I.,1988,5.9,10579,Action; Adventure; Crime,,,,,,,,,
Friendzone,2021,5.9,1379,Comedy; Romance,,,,,,,,,
The Nightmare Before Christmas,1993,8,311747,Animation; Family; Fantasy,,,,,,,,,
Interstellar,2014,8.6,1624116,Adventure; Drama; Sci-Fi,,,,,,,,,
The Rocky Horror Picture Show,1975,7.4,139351,Comedy; Horror; Musical,,,,,,,,,
Pig,2021,6.9,33733,Drama; Thriller,,,,,,,,,
The Orville,2021,8,64211,Adventure; Comedy; Drama,,,,,,,,,
Endeavour,2021,8.6,21802,Crime; Drama; Mystery,,,,,,,,,
Batoru rowaiaru,2000,7.6,176302,Action; Adventure; Drama,,,,,,,,,
Homeland,2000,8.3,326240,Crime; Drama; Mystery,,,,,,,,,
Halloween,2007,6.1,113922,Horror,,,,,,,,,
Knock Knock,2015,4.9,89175,Drama; Thriller,,,,,,,,,
The Dark Knight,2008,9,2428117,Action; Crime; Drama,,,,,,,,,
Two and a Half Men,2008,7,249542,Comedy; Romance,,,,,,,,,
The Protégé,2021,6.1,13778,Action; Crime; Thriller,,,,,,,,,
I Know What You Did Last Summer,2021,5.1,1135,Horror; Mystery; Thriller,,,,,,,,,
Parks and Recreation,2021,8.6,233155,Comedy,,,,,,,,,
Star Trek: Lower Decks,2021,7.2,12261,Animation; Action; Adventure,,,,,,,,,
One Piece: Wan pîsu,2021,8.8,86612,Animation; Action; Adventure,,,,,,,,,
Ghostbusters: Afterlife,2021,No Rate,No Votes,Comedy; Fantasy,,,,,,,,,
A Quiet Place Part II,2020,7.3,165973,Drama; Horror; Sci-Fi,,,,,,,,,
Cobra Kai,2020,8.6,127699,Action; Comedy; Drama,,,,,,,,,
FBI: Most Wanted,2020,6.8,5342,Action; Crime; Drama,,,,,,,,,
Don't Breathe 2,2021,6.1,29241,Action; Drama; Horror,,,,,,,,,
House of Wax,2005,5.4,119934,Horror; Thriller,,,,,,,,,
Wonder Woman 1984,2020,5.4,233753,Action; Adventure; Fantasy,,,,,,,,,
Zack Snyder's Justice League,2021,8.1,340603,Action; Adventure; Fantasy,,,,,,,,,
A Million Little Things,2021,7.9,10844,Comedy; Drama; Romance,,,,,,,,,
Reservation Dogs,2021,8.2,5946,Comedy; Crime,,,,,,,,,
Mad Men,2021,8.6,220406,Drama,,,,,,,,,
Killers of the Flower Moon,2021,No Rate,No Votes,Crime; Drama; History,,,,,,,,,
The Goldbergs,2021,8,34243,Comedy,,,,,,,,,
Nobody,2021,7.4,164357,Action; Crime; Drama,,,,,,,,,
The Tomorrow War,2021,6.6,170217,Action; Adventure; Drama,,,,,,,,,
1917,2019,8.3,497055,Action; Drama; War,,,,,,,,,
Cowboy Bebop,2019,No Rate,No Votes,Action; Adventure; Crime,,,,,,,,,
Sweet Home,2019,7.4,14574,Drama; Fantasy; Horror,,,,,,,,,
The 355,2022,No Rate,No Votes,Action; Thriller,,,,,,,,,
Station 19,2022,6.7,11053,Action; Drama; Romance,,,,,,,,,
Law & Order,2022,7.7,33951,Crime; Drama; Mystery,,,,,,,,,
The Hunger Games,2012,7.2,874403,Action; Adventure; Sci-Fi,,,,,,,,,
Jennifer's Body,2009,5.3,125403,Comedy; Horror,,,,,,,,,
Prison Break,2009,8.3,499859,Action; Crime; Drama,,,,,,,,,
House of Gucci,2021,No Rate,No Votes,Crime; Drama; Thriller,,,,,,,,,
Outer Banks,2021,7.6,36571,Action; Crime; Drama,,,,,,,,,
Braqueurs,2021,7,1440,Action; Crime; Drama,,,,,,,,,
The Power of the Dog,2021,6.6,2853,Drama; Romance; Western,,,,,,,,,
Halloween II,1981,6.5,81417,Horror,,,,,,,,,
Sherlock,1981,9.1,853642,Crime; Drama; Mystery,,,,,,,,,
Trick 'r Treat,2007,6.8,86032,Comedy; Horror,,,,,,,,,
Prisoners,2013,8.1,641220,Crime; Drama; Mystery,,,,,,,,,
Hereditary,2018,7.3,270994,Drama; Horror; Mystery,,,,,,,,,
Black as Night,2021,3.9,1087,Drama; Horror; Thriller,,,,,,,,,
The Good Girl,2002,6.4,44437,Drama; Romance,,,,,,,,,
Teen Wolf,2002,7.6,136164,Action; Drama; Fantasy,,,,,,,,,
Dr. Death,2021,7.7,7648,Crime; Drama; Thriller,,,,,,,,,
It,2017,7.3,491621,Horror,,,,,,,,,
The Father,2020,8.3,101279,Drama,,,,,,,,,
Die Another Day,2002,6.1,212253,Action; Adventure; Thriller,,,,,,,,,
Call the Midwife,2002,8.5,22472,Drama; History,,,,,,,,,
Inception,2010,8.8,2178860,Action; Adventure; Sci-Fi,,,,,,,,,
Doctor Sleep,2019,7.3,167153,Drama; Fantasy; Horror,,,,,,,,,
Pulp Fiction,1994,8.9,1915230,Crime; Drama,,,,,,,,,
Ask 101,1994,7.5,12077,Comedy; Drama; Romance,,,,,,,,,
The Departed,2006,8.5,1244747,Crime; Drama; Thriller,,,,,,,,,
Spider-Man,2002,7.3,728050,Action; Adventure; Sci-Fi,,,,,,,,,
Euphoria,2002,8.4,79994,Drama,,,,,,,,,
The Umbrella Academy,2002,8,182838,Action; Adventure; Comedy,,,,,,,,,
Once Upon a Time,2002,7.7,214885,Adventure; Fantasy; Romance,,,,,,,,,
Reminiscence,2021,5.9,36510,Mystery; Romance; Sci-Fi,,,,,,,,,
Hollington Drive,2021,4.6,254,Thriller,,,,,,,,,
Heartland,2021,8.4,13006,Drama; Family,,,,,,,,,
Boku no hîrô akademia,2021,8.4,48172,Animation; Action; Adventure,,,,,,,,,
Knives Out 2,2022,No Rate,No Votes,Comedy; Crime; Drama,,,,,,,,,
Scary Movie,2000,6.2,243587,Comedy,,,,,,,,,
South Park,2000,8.7,345100,Animation; Comedy,,,,,,,,,
Turner & Hooch,2000,6.6,2625,Comedy; Drama; Family,,,,,,,,,
Mortal Kombat,2021,6.1,145124,Action; Adventure; Fantasy,,,,,,,,,
Ghostbusters,1984,7.8,374701,Action; Comedy; Fantasy,,,,,,,,,
Locke & Key,1984,7.4,51137,Drama; Fantasy; Horror,,,,,,,,,
The Sinner,1984,7.9,99632,Crime; Drama; Mystery,,,,,,,,,
Fight Club,1999,8.8,1948261,Drama,,,,,,,,,
Rakka,2017,7.4,7037,Short; Horror; Sci-Fi,,,,,,,,,
The Lord of the Rings: The Fellowship of the Ring,2001,8.8,1736338,Action; Adventure; Drama,,,,,,,,,
Help,2021,8,4320,Drama,,,,,,,,,
Mean Girls,2004,7,356752,Comedy,,,,,,,,,
Daredevil,2004,8.6,382011,Action; Crime; Drama,,,,,,,,,
The Shining,1980,8.4,946683,Drama; Horror,,,,,,,,,
Star Trek: Deep Space Nine,1980,8,57362,Action; Adventure; Drama,,,,,,,,,
Dr. No,1962,7.2,157817,Action; Adventure; Thriller,,,,,,,,,
Hawaii Five-0,1962,7.3,69783,Action; Crime; Drama,,,,,,,,,
Arrow,1962,7.5,418232,Action; Adventure; Crime,,,,,,,,,
Léon,1994,8.5,1085586,Action; Crime; Drama,,,,,,,,,
The Manor,2021,5.3,1677,Horror,,,,,,,,,
Bosch,2021,8.4,58565,Crime; Drama,,,,,,,,,
South of Heaven,2021,5.7,376,Action; Crime; Drama,,,,,,,,,
Encanto,2021,No Rate,No Votes,Animation; Adventure; Comedy,,,,,,,,,
Don't Look Up,2021,No Rate,No Votes,Comedy; Drama; Sci-Fi,,,,,,,,,
Legends of Tomorrow,2021,6.8,97989,Action; Adventure; Drama,,,,,,,,,
Bingo Hell,2021,4.3,1139,Comedy; Fantasy; Horror,,,,,,,,,
Django Unchained,2012,8.4,1432853,Drama; Western,,,,,,,,,
Zhang jin hu,2021,5.2,646,Action; Drama; War,,,,,,,,,
Friday the 13th,1980,6.4,129391,Horror; Mystery; Thriller,,,,,,,,,
Gone Girl,2014,8.1,912613,Drama; Mystery; Thriller,,,,,,,,,
Bob's Burgers,2014,8.1,71250,Animation; Comedy,,,,,,,,,
Truth Be Told,2014,7.1,9465,Crime; Drama; Mystery,,,,,,,,,
Virgin River,2014,7.4,30823,Drama; Romance,,,,,,,,,
"If I Can't Have Love I Want Power",2021,7,1061,Drama; Fantasy; Horror,,,,,,,,,
SEAL Team,2021,7.6,19476,Action; Drama; War,,,,,,,,,
Poltergeist,1982,7.3,152037,Horror; Thriller,,,,,,,,,
The Silence of the Lambs,1991,8.6,1336681,Crime; Drama; Thriller,,,,,,,,,
